Gene,basal_avg,basal_down,basal_up,her2_avg,her2_down,her2_up,lumA_avg,lumA_down,lumA_up,lumB_avg,lumB_down,lumB_up,norm_avg,norm_down,norm_up
ACADL,-0.112538928,-1.512288486,1.287210629,-0.376332673,-0.952662635,0.199997289,0.418176687,-0.580747931,1.417101306,-0.406748075,-0.935733854,0.122237704,0.477442989,-0.637451586,1.592337563
ACADM,-0.019023161,-1.333232101,1.295185778,-0.450398714,-1.659685392,0.758887963,0.422549137,-0.32765158,1.172749854,-0.01544712,-0.793597103,0.762702862,0.062319859,-0.850387472,0.975027189
ACADS,-0.134174144,-1.07240876,0.804060472,-0.495365448,-1.017710443,0.026979547,0.661638702,-0.67417433,1.997451733,-0.069830602,-1.143729589,1.004068385,0.037731492,-0.821529074,0.896992058
ACADSB,-1.290971941,-1.72876731,-0.853176571,0.132132867,-0.474906187,0.739171921,0.799711027,-0.138503023,1.737925077,0.361442203,-0.423169391,1.146053797,-0.002314157,-0.901171904,0.89654359
ACADVL,0.14513323,-1.389309011,1.67957547,-0.629490918,-1.071668536,-0.1873133,0.224956195,-0.6762836,1.12619599,-0.193234716,-1.011023537,0.624554104,0.45263621,-0.439013339,1.344285759
ACAN,0.602649552,-0.979253956,2.184553061,-0.398939625,-1.16911141,0.37123216,0.247912652,-0.374731387,0.870556691,-0.475185256,-1.246607263,0.296236752,0.023562676,-0.773440117,0.82056547
ACAP1,0.345184588,-1.10868049,1.799049666,-0.147820161,-0.628162398,0.332522076,-0.137602414,-0.954267849,0.679063021,-0.323077053,-1.75847945,1.112325343,0.26331504,-0.158428458,0.685058539
ACAP2,-0.543498658,-1.617539038,0.530541723,0.062941657,-0.673374317,0.799257631,-0.088639203,-1.018448256,0.84116985,0.50247813,-0.983531174,1.988487434,0.066718074,-0.404285622,0.53772177
ACAP3,-0.466756939,-1.969626281,1.036112403,0.489380518,-0.611032814,1.589793849,0.040623191,-0.631140278,0.712386659,0.054989684,-0.936267303,1.046246672,-0.118236453,-0.549637898,0.313164992
ACAT1,0.418285237,-0.713850114,1.550420587,-0.684239767,-1.581053142,0.212573607,0.008052608,-0.968217419,0.984322635,0.287114991,-0.675551258,1.249781241,-0.029213068,-0.946738816,0.88831268
ACAT2,0.294950832,-1.360558197,1.950459861,0.248698171,-0.591099588,1.08849593,-0.532501435,-1.234433995,0.169431125,-0.137580322,-0.484041508,0.208880864,0.126432755,-0.893641752,1.146507262
ACBD3,0.079128112,-1.238882346,1.397138569,0.814338761,-0.336529859,1.965207381,-0.349264594,-1.098920903,0.400391716,0.062913613,-0.543762814,0.66959004,-0.607115892,-1.176214931,-0.038016853
ACBD4,-0.45204179,-1.333780135,0.429696554,-0.665136765,-1.374521648,0.044248118,0.409264751,-0.133745632,0.952275134,0.910914879,-0.481827059,2.303656816,-0.203001075,-0.665435722,0.259433572
ACBD5,0.144870961,-1.174924003,1.464665924,0.214494696,-0.673121936,1.102111328,-0.293805721,-1.316018895,0.728407453,0.13047468,-0.853117904,1.114067264,-0.196034616,-1.116923815,0.724854584
ACBD6,-0.187460036,-1.186000896,0.811080824,0.487731947,-0.914140865,1.88960476,-0.673021881,-1.196012056,-0.150031706,0.656098798,-0.287688504,1.5998861,-0.283348828,-0.610594024,0.043896368
ACBD7,0.436889202,-0.529628423,1.403406828,-0.655488913,-1.292321886,-0.018655939,-0.401117917,-1.223741696,0.421505863,0.11985063,-0.586191522,0.825892781,0.499866997,-0.890711766,1.89044576
ACCS,0.060806487,-0.818534727,0.940147701,-0.438190734,-1.360115666,0.483734198,0.501317896,-0.517032184,1.519667976,-0.614060293,-1.317159068,0.089038482,0.490126643,-0.638175635,1.618428922
ACD,-0.237575215,-1.53980258,1.064652149,-0.087817046,-0.908116021,0.732481929,-0.081880811,-0.534970324,0.371208703,0.754264183,-0.562610929,2.071139294,-0.346991111,-1.026451041,0.33246882
ACE,0.025171626,-1.736341995,1.786685246,0.30138462,-0.649599393,1.252368632,0.299249189,-0.525891563,1.124389941,-0.343898405,-0.910151763,0.222354953,-0.281907029,-0.71791245,0.154098392
ACE2,0.601747039,-0.443499927,1.646994006,-0.378370703,-0.637644003,-0.119097404,-0.623386744,-1.128849999,-0.117923489,-0.612229428,-0.853472621,-0.370986234,0.818870723,-0.866649489,2.504390935
ACHE,0,0,0,0.420406826,-1.16867863,2.009492283,0,0,0,-0.8917814,-1.189872737,-0.593690063,0.471374574,0.163748121,0.779001027
ACIN1,-0.324825591,-1.501040434,0.851389251,-0.091377033,-1.042407932,0.859653865,0.444859435,0.02902695,0.86069192,0.808608499,0.001509158,1.61570784,-0.837265309,-1.635878385,-0.038652233
ACKR2,0.654896241,-0.675120177,1.984912659,-0.237589856,-1.902523655,1.427343943,-0.41850505,-0.829969877,-0.007040223,-0.357511482,-0.868038185,0.153015221,0.288759528,-0.282319174,0.85983823
ACKR3,-0.308526661,-0.684458427,0.067405106,0.121425694,-0.940171743,1.183023131,-0.075875591,-1.062410709,0.910659526,0.030639997,-1.25260138,1.313881374,0.053060495,-1.045797348,1.151918338
ACLY,-0.035346832,-1.165523273,1.094829609,-0.053267654,-0.574974566,0.468439258,0.013634176,-0.719891205,0.747159557,0.722129489,-0.603554003,2.047812982,-0.647149179,-1.494151473,0.199853115
ACMSD,0,0,0,0.022496979,-1.26145577,1.306449728,0,0,0,0.576822546,-0.30363076,1.457275852,-0.599319525,-1.617968595,0.419329545
ACN9,0.885488502,-0.06724317,1.838220174,-0.032947655,-0.750432159,0.684536849,-0.290479593,-1.390253387,0.809294201,-0.636550213,-1.742978895,0.469878469,0.074488959,-0.498656388,0.647634306
ACO1,-0.806486385,-2.421252559,0.808279788,0.175381919,-0.54206906,0.892832897,0.155135186,-0.734642465,1.044912838,0.017780918,-0.696095375,0.731657212,0.458188362,0.044021062,0.872355662
